LocationID,ApogeeID,Method_ID,Class,Bin%
0,5045,2M00003987+6236456,MJ,3,0.9274555620793414
1,5067,2M00023036+8524194,MJ,3,0.9321172803884752
2,4548,2M00023179+1521164,MJ,3,0.9569962511056488
3,4590,2M00031962-0017109,MJ,3,0.952934618695337
4,4287,2M00041959+7547098,MJ,3,0.9079899787263224
5,4590,2M00050265+0116236,MJ,3,0.9746189071010428
6,4120,2M00062867+6955129,MJ,3,0.9880497676115044
7,4590,2M00065234+0151397,MJ,3,0.98126241491554
8,4590,2M00065508+0154022,MJ,3,0.991202934976528
9,4590,2M00092179+0038065,MJ,3,0.9325064233016588
10,4590,2M00092573+0036224,MJ,3,0.9141733143844388
11,4424,2M00093745+5823242,MJ,3,0.9307842521100458
12,5038,2M00132431-1410460,MJ,3,0.9937054385449438
13,4287,2M00134329+7346435,MJ,3,0.9444060274753504
14,5067,2M00140613+8541300,MJ,3,0.9977882993930436
15,4119,2M00150792+6559126,MJ,3,0.9653290555603672
16,5038,2M00151077-1416285,MJ,3,0.9834744674615274
17,5046,2M00160071+7403548,MJ,3,0.9893458285121809
18,5067,2M00170781+8551505,MJ,3,0.9864362745779308
19,5038,2M00171482-1510258,MJ,3,0.9182918100058824
20,5038,2M00171655-1252423,MJ,3,0.9607577276450696
21,5038,2M00171810-1453037,MJ,3,0.9827529633060282
22,4250,2M00174625+5856272,MJ,3,0.96723579424039
23,5038,2M00182381-1511057,MJ,3,0.9576770070114844
24,5038,2M00182768-1412225,MJ,3,0.991065836426037
25,5046,2M00194158+7350330,MJ,3,0.9445259747524132
26,5038,2M00194534-1404204,MJ,3,0.9605534956809734
27,5038,2M00194821-1524079,MJ,3,0.9916108043982144
28,5038,2M00202076-1407381,MJ,3,0.9536019803505033
29,5038,2M00202684-1408080,MJ,3,0.9676937736046238
30,5038,2M00204650-1506252,MJ,3,0.9245283961555956
31,5038,2M00215362-1447430,MJ,3,0.9958424585808175
32,5097,2M00232817+5708446,MJ,3,0.9279009376905396
33,4250,2M00252677+5819348,MJ,3,0.9361433805023108
34,4243,2M00265252+6359169,MJ,3,0.9929673438789964
35,4250,2M00290829+6001421,MJ,3,0.9138987886947818
36,5097,2M00300613+5719559,MJ,3,0.94080377771709
37,4256,2M00302865+5553105,MJ,3,0.991809716550256
38,4119,2M00304380+6752210,MJ,3,0.9915898809731654
39,5097,2M00315685+5743383,MJ,3,0.9926524301232096
40,5067,2M00344379+8522254,MJ,3,0.9752341760797358
41,4243,2M00350618+6345463,MJ,3,0.96800620401902
42,4256,2M00360002+5519491,MJ,3,0.9902769075069684
43,4250,2M00373811+5912258,MJ,3,0.9807161703144066
44,5067,2M00385579+8605109,MJ,3,0.98722579340423
45,5067,2M00395336+8431073,MJ,3,0.9778491987759228
46,5097,2M00400630+5644107,MJ,3,0.9760232214467444
47,4476,2M00411929+1718359,MJ,3,0.9900243082238356
48,4217,2M00430905+8407348,MJ,3,0.9941693991138012
49,5067,2M00441812+8516024,MJ,3,0.9958072766841568
50,4476,2M00443313+1734287,MJ,3,0.9739019409369842
51,4476,2M00443463+1719220,MJ,3,0.9471642836794879
52,4476,2M00452143+1634446,MJ,3,0.9609600522491512
53,5049,2M00453126+0217282,MJ,3,0.9846600162360551
54,5067,2M00463801+8441448,MJ,3,0.9611926006818928
55,5049,2M00465778+0235576,MJ,3,0.9972700349445508
56,4476,2M00470197+1751448,MJ,3,0.9204231619786096
57,5049,2M00484410+0241261,MJ,3,0.9763348947579789
58,5113,2M00490257+3958086,MJ,3,0.9403177363073932
59,5113,2M00493192+4026429,MJ,3,0.9685149267333658
60,5099,2M00581292+6332015,MJ,3,0.9796398857092008
61,4217,2M00593409+8503084,MJ,3,0.9833902443720044
62,5099,2M01031300+6145544,MJ,3,0.9409353084037558
63,5048,2M01053790+5116300,MJ,3,0.9670737856325632
64,4414,2M01103850+6655525,MJ,3,0.9839812380700238
65,4217,2M01193634+8435481,MJ,3,0.9945233247923149
66,4318,2M01232188+6220546,MJ,3,0.97000994678406
67,4477,2M01252951+1737245,MJ,3,0.9673130387177408
68,4477,2M01281972+1731200,MJ,3,0.9189893941680468
69,4318,2M01325477+6205304,MJ,3,0.9541784766192444
70,4217,2M01343480+8456365,MJ,3,0.970457998314682
71,4425,2M01345988+6651462,MJ,3,0.932269631202038
72,5136,2M01443396-1749560,MJ,3,0.9961605630471609
73,5136,2M01444703-1858468,MJ,3,0.955481019344682
74,5060,2M01511093+6105372,MJ,3,0.9479253476570964
75,5111,2M01521669+3815063,MJ,3,0.9948160418685666
76,4472,2M01525005-0353374,MJ,3,0.9865467776932874
77,4472,2M01540092-0306019,MJ,3,0.995439638959297
78,5060,2M01540426+6221236,MJ,3,0.945425924955602
79,4472,2M01550987-0302298,MJ,3,0.9109378895102626
80,5111,2M01551917+3749154,MJ,3,0.994208600061354
81,4217,2M01561714+8458408,MJ,3,0.982963447575375
82,4472,2M01562189-0223547,MJ,3,0.991397940669198
83,5060,2M01572718+6300502,MJ,3,0.9860813952394104
84,4472,2M01583450-0349002,MJ,3,0.9960788306375612
85,4416,2M01593686+6533283,MJ,3,0.9430932666233326
86,4478,2M02062664+1438073,MJ,3,0.9412993312864032
87,4309,2M02072992+5427212,MJ,3,0.9890940066389682
88,4309,2M02082405+5454197,MJ,3,0.9671420477187914
89,4478,2M02112972+1313487,MJ,3,0.924510698822528
90,4478,2M02112973+1359128,MJ,3,0.971722098344606
91,4271,2M02290160+6124289,MJ,3,0.9908362212591556
92,5050,2M02293039-0818019,MJ,3,0.9624202139226572
93,5050,2M02301066-0847529,MJ,3,0.9350810367259454
94,5050,2M02313915-0724130,MJ,3,0.9937731196662919
