LocationID,ApogeeID,min_log(R51),min_log(R101),min_log(R151),min_log(R151/R101),min_log(R101/R51),max_log(xr),Identifier
62,4120,2M00215480+7114390,0.9637,0.8988,0.8842,-0.1937,-0.4705,1.7402,JRC
63,5038,2M00221221-1327561,0.9304,1.0222,1.0673,0.0186,0.0723,1.3861,JRC
64,5038,2M00222465-1431542,0.951,1.0863,1.1384,0.0156,0.0864,0.8706,JRC
65,5067,2M00224443+8448486,0.5814,0.3715,0.4321,0.0606,-0.3947,1.5081,JRC
66,4250,2M00230500+5803223,0.9593,1.088,1.1648,0.0768,0.1284,0.7187,JRC
67,4250,2M00230917+5954349,0.9548,1.0863,1.151,0.0648,0.1187,0.5426,JRC
68,5097,2M00232817+5708446,0.7432,0.8333,0.8943,-0.0404,-0.1031,1.1775,JRC
69,5097,2M00242328+5657197,0.9187,0.8168,0.782,-0.14300000000000002,-0.2795,1.5941,JRC
70,4243,2M00242588+6221034,0.9708,1.0557,1.0328,-0.0458,0.0629,1.1987,JRC
71,4250,2M00252677+5819348,0.4586,0.5858,0.6467,0.0255,-0.0682,0.9054,JRC
72,4119,2M00255226+6523008,0.9608,0.8252,0.7683,-0.1744,-0.5959,1.6847,JRC
73,4243,2M00265252+6359169,0.39799999999999996,0.5195,0.6044,0.0657,0.0763,1.3499,JRC
74,4243,2M00271068+6403434,0.7744,0.8583,0.9359,-0.0547,-0.0427,1.544,JRC
75,4120,2M00274757+6956505,0.3769,0.5244,0.593,-0.0358,0.0854,0.935,JRC
76,4256,2M00280680+5558136,0.6005,0.7497,0.8357,0.0804,0.1401,0.8159,JRC
77,4243,2M00285215+6144060,0.9556,0.9343,0.9957,0.0396,-0.0481,1.6651,JRC
78,4250,2M00290829+6001421,0.8692,0.9834,1.0267,-0.0435,-0.2226,1.237,JRC
79,5097,2M00300613+5719559,0.6624,0.8109,0.8957,0.0847,0.1463,0.8016,JRC
80,4256,2M00302865+5553105,0.4394,0.5065,0.5889,0.0824,-0.1863,1.4465,JRC
81,4250,2M00303743+5943247,0.6581,0.7654,0.8346,-0.0697,-0.1152,0.7287,JRC
82,4119,2M00304380+6752210,0.3995,0.5411,0.6143,0.038,0.0976,1.5127,JRC
83,5097,2M00315685+5743383,0.3722,0.5062,0.5926,0.0782,0.1339,1.1745,JRC
84,4286,2M00322425+5101119,0.9042,1.0081,1.0241,-0.0303,-0.215,1.1737,JRC
85,5067,2M00343487+8452069,1.048,0.9199,0.9888,0.0689,-0.1281,1.2177,JRC
86,5067,2M00344379+8522254,0.5828,0.7164,0.7917,0.0713,0.1269,1.0707,JRC
87,4286,2M00344435+5159462,0.9906,1.03,1.0447,-0.1342,-0.1395,1.6185,JRC
88,5067,2M00350429+8459198,0.8591,0.8220000000000001,0.8292,-0.0356,-0.0559,1.0959999999999999,JRC
89,4243,2M00350618+6345463,0.9441,0.9746,1.0164,-0.2852,-0.0602,0.7068,JRC
90,4256,2M00360002+5519491,0.4055,0.5444,0.6259,0.0562,0.0751,1.0593,JRC
91,5067,2M00363416+8529046,0.4275,0.5489999999999999,0.6224,0.0716,-0.0628,1.3459,JRC
92,4286,2M00372323+4950469,0.8826,0.9694,0.9913,-0.0069,0.0089,1.3445,JRC
93,4476,2M00373172+1720548,0.9878,0.9123,0.8221,-0.0932,-0.0755,1.7018,JRC
94,4250,2M00373811+5912258,0.6642,0.8128,0.8963,0.0816,0.1458,0.9622,JRC
