4594,2M05532890+2505154
4322,2M05585333+2121010
4617,2M06404653+0035170
4595,2M06065436+1902040
4254,2M19104331-0547438
4201,2M15125709+0059275
4248,2M19562706+2034426
4300,2M23093953+4618435
4378,2M18030946-1717301
4392,2M17315690-2327321
4573,2M06170591+0843126
4105,2M16412729+3632226
4261,2M19525445+1937141
4488,2M11502591+2659155
4213,2M10202270+0241172
4409,2M18451278+4208537
4246,2M20563612+4941233
4473,2M22130997-0311316
4345,2M17343703-1852564
4350,2M18363117-2846403
4162,2M08501854+1231163
4147,2M07364337+2035251
4489,2M12005016+1938424
4504,2M10462457+4350102
4348,2M17382158-2317203
4254,2M19173221-0537074
4369,2M18233681-1805257
4307,2M18250667+1623368
4314,2M20031361+3102382
4226,2M12051683+1519446
4565,2M06182950+2448128
4250,2M00372559+5906078
4560,2M04591798+3527583
4335,2M17223286-2522481
4516,2M13561171+0149344
4278,2M06303701+3405095
4125,2M12210003-0026204
4221,2M07033142+3720312
4261,2M19535236+1844542
4204,2M16451536+4614147
4292,2M06501824-2406273
4261,2M19565800+1839449
4152,2M03482445+5006180
4417,2M01523937+5658100
4612,2M05343796-0541087
4336,2M17571946-2341115
4343,2M17594962-1924002
4330,2M17462383-2838270
4127,2M12481260+2810469
4107,2M18190459+0118456
4311,2M03313597+7004180
4611,2M05351281-0515240
4264,2M23570641+5646501
4545,2M21053194+3910411
4273,2M06184655+1628534
4244,2M18324386-0024417
4243,2M00214531+6203466
4230,2M21285203+1320096
4144,2M03403537+4529087
4253,2M07095327+0530545
4455,2M17185672+5530427
4615,2M05425473-0805019
4420,2M22223054+5338469
4454,2M17115751+5828188
4572,2M06414711+0938047
4364,2M17452841-2517090
4581,2M06473291-0854109
5001,2M19201333+5049151
4445,2M11500637+0053299
4124,2M11471890+0004158
4423,2M23511029+6614243
4105,2M16475450+3622108
4312,2M19015118+0259452
4454,2M17211264+5951146
4160,2M13423753+2816374
4486,2M12173991+4128151
4582,2M07302209-0832455
4258,2M06015572+1457237
4528,2M16510384+8606070
4465,2M19204925+3930395
4160,2M13474556+2742460
4274,2M07362331-1921398
4413,2M00420408+4012040
4261,2M19554954+1913483
4428,2M03050159+5332000
4348,2M17391802-2320024
4479,2M02443385+0915354
4587,2M03334152+3215224
4275,2M21560769+3916224
4404,2M19103001+4211047
4349,2M18111938-2715088
4301,2M22502208+5207404
4249,2M21210037+4520593
4569,2M06513039+1603149
4600,2M05350626+5252499
4247,2M18571833-0341549
4370,2M18061481-1531130
4241,2M19414246+2340433
