4204	2M16442842+4705445
4331	2M18514967-3031343
4256	2M00261321+5508426
4344	2M18143988-1136285
4551	2M03120929+6115428
4424	2M23572095+5756576
4252	2M20361028+5237063
4242	2M21091928+4754451
4480	2M03202605+0115555
4381	2M18455501-2950381
4330	2M17434414-2938256
4599	2M05482545+0333242
4201	2M15192470+0007499
4367	2M17284196-2426049
4240	2M18512962-0249048
4307	2M18270678+1701337
4471	2M03212829+0737283
4307	2M18310035+1711189
4397	2M06441430-0057447
4327	2M05483010+1244466
4538	2M10444707-1022392
4359	2M17143334-2419487
4521	2M16351771+0016303
4369	2M18195329-1810260
4611	2M05383946-0440487
4337	2M17084139-2352182
4342	2M18302444-1450461
4558	2M04340061+4133305
4587	2M03345401+3134488
4399	2M19482040+5036278
4200	2M16340879-1255409
4344	2M18191824-1228279
4587	2M03281937+3050509
4145	2M05233605+4306112
4589	2M19322044+3820302
4510	2M11145858+0754017
4364	2M17471193-2445162
4466	2M19481295+4129507
4255	2M20090760+1955469
4210	2M13204832+7058126
4405	2M19094197+4736534
4410	2M19030546+4049524
4369	2M18200905-1803112
4602	2M06503084+2825537
4517	2M14195161+0433095
4348	2M17384660-2323165
4464	2M19232510+4205129
4394	2M20160397+3747481
4342	2M18311639-1404253
4257	2M04530225+3746438
4357	2M18212111-1515417
4559	2M05340372+4140342
4601	2M06254107+4132192
4468	2M18442767+0558158
4290	2M05461478-0531077
4276	2M20061092+5620136
4315	2M20423661+4313517
4348	2M17401969-2320412
4342	2M18314112-1345379
4509	2M10533001+1359358
4379	2M18112914-1442255
4257	2M04490902+3928088
4121	2M04481238+5914277
4158	2M06275483+0023288
4414	2M01041085+6742002
4253	2M07171000+0548510
4448	2M10551384+1535076
4361	2M16535699-2112455
4153	2M04195298+5405382
4481	2M13402261+1924534
4162	2M08525428+1129482
4412	AP00415701+4105145
4469	2M18271216-0218189
4611	2M05340817-0443573
4346	2M17493113-2314081
4301	2M22450107+5334217
4282	2M19255583-0706421
4308	2M02042244+4838000
4220	2M14595229+3003392
4122	2M05184439+2353030
4614	2M05383060-0701436
5005	2M19350451+4811397
4423	2M23553565+6602347
4292	2M06485134-2548589
4327	2M05461445+1111276
4576	2M07052247+0215385
4120	2M00051500+7131319
4367	2M17300581-2432043
4254	2M19125330-0544414
4509	2M10521774+1531299
4423	2M23481094+6627511
4105	2M16431252+3648213
4588	2M19353092+3830216
4535	2M08560285+0341494
4357	2M18181219-1546078
4294	2M08005898-1706179
4421	2M22363497+6337509
4504	2M10520376+4439409
4355	2M18064567-2155543
4226	2M11573782+1625505
4458	2M18300046-0850138
4509	2M10534655+1556347
4276	2M20023480+5557101
4269	2M20195251+3639578
4306	2M18492743+1417185
4341	2M18140149-2108067
4128	2M13075285+1643105
4539	2M11170645+0111061
4610	2M07362045+1636247
4144	2M03414198+4535501
4303	2M21342912+6706029
4525	2M17515773+4923579
4270	2M22273698+5909346
4213	2M10114604+0206034
4431	2M05432788+3844005
4520	2M16041705-1109259
4505	2M10312453+3422134
4246	2M21000527+5050287
4574	2M06514290+0901107
5011	2M19175539+4427067
